venue,avg_1st_score,median_1st_score,std_1st_score,win_rate_bat_first
"Namibia Cricket Ground, Windhoek",116.66118421052632,142.0,44.71051374696012,0.0
Narendra Modi Stadium,170.5909090909091,164.0,33.011377912661175,0.39935064935064934
"Narendra Modi Stadium, Ahmedabad",234.0,234.0,0.0,1.0
"Nassau County International Cricket Stadium, New York",108.0269989615784,110.0,16.2764353352143,0.3811007268951194
"National Cricket Stadium, Grenada",208.0,208.0,0.0,1.0
"National Cricket Stadium, St George's",74.0,74.0,0.0,0.0
"National Cricket Stadium, St George's, Grenada",175.1681818181818,167.0,19.631448067628085,0.7170454545454545
"National Sports Academy, Sofia",156.59619140625,157.0,46.68231380538263,0.12841796875
National Stadium,154.11436541143655,203.0,57.51090037603141,0.5146443514644351
"National Stadium, Hamilton",165.23376623376623,176.0,50.54406976163319,0.7987012987012987
"National Stadium, Karachi",157.7426273458445,150.0,36.264692605737395,0.4670241286863271
New Wanderers Stadium,169.5655149934811,164.0,37.28434712350382,0.3924380704041721
Newlands,152.96593186372746,150.0,27.99345136685898,0.3360053440213761
"Newlands, Cape Town",152.5754339118825,149.0,28.748860463234166,0.5807743658210948
"Nigeria Cricket Federation Oval 1, Abuja",95.19096509240246,135.0,45.75222318568719,0.0
"Nigeria Cricket Federation Oval 2, Abuja",117.94551845342707,141.0,59.21670799198951,0.6625659050966608
Nondescripts Cricket Club Ground,86.51851851851852,100.0,14.019270484000957,0.0
North Sydney Oval,156.05756358768406,162.0,51.982010251301304,0.33467202141900937
"North Sydney Oval, Sydney",158.87335092348286,147.0,39.16522864108929,0.0
OUTsurance Oval,168.0,168.0,0.0,0.0
Old Hararians,125.97267206477733,137.0,41.98796399821075,0.6538461538461539
Old Trafford,155.49368088467614,150.0,29.583705180574135,0.292259083728278
"Old Trafford, Manchester",159.5149863760218,154.0,29.653263422859574,0.335149863760218
P Sara Oval,119.73662551440329,108.0,50.50977833402418,0.25102880658436216
"P Sara Oval, Colombo",121.39784946236558,118.0,14.055062902968045,0.0
Pallekele International Cricket Stadium,169.0652567975831,169.0,33.47674756514683,0.4873111782477341
"Pembroke Cricket Club, Sandymount",151.0,151.0,0.0,0.0
"Pembroke Cricket Club, Sandymount, Dublin",142.96673387096774,143.0,29.44515334854303,0.49899193548387094
Perth Stadium,149.5344827586207,133.0,45.31310920647243,0.43103448275862066
Pierre Werner Cricket Ground,163.38645418326692,163.0,13.129497295996215,0.8366533864541833
Pokhara Rangasala,108.24102564102564,50.0,108.65323421259932,0.3487179487179487
Prairie View Cricket Complex,155.5296803652968,153.0,35.91985091140713,0.4280821917808219
Providence Stadium,139.5333974050937,139.0,32.85280348124176,0.5982700624699664
"Providence Stadium, Guyana",134.0607315389924,152.0,40.9125250616855,0.38164251207729466
Pukekura Park,134.0,134.0,0.0,1.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",157.6036866359447,160.0,26.502065559045057,0.7142857142857143
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",208.0,208.0,0.0,0.0
"Punjab Cricket Association Stadium, Mohali",206.0,206.0,0.0,0.0
"Queen's Park Oval, Port of Spain",129.77777777777777,132.0,16.777074376493733,0.5094850948509485
Queens Sports Club,168.0,168.0,0.0,1.0
"Queens Sports Club, Bulawayo",147.80506912442397,146.0,38.39829449253291,0.6857142857142857
R Premadasa Stadium,141.8688605108055,141.0,29.97395894054671,0.5162082514734774
"R Premadasa Stadium, Colombo",130.25931131412509,132.0,28.029511699415238,0.17427969079409697
"R.Premadasa Stadium, Khettarama",164.63020408163266,170.0,28.107948461363804,0.19918367346938776
"Rajiv Gandhi International Stadium, Uppal",207.0,207.0,0.0,0.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",241.944,297.0,55.60955452273349,0.504
